lemma,traduzione,parte del discorso,gruppo,posizione,
tener -era -erum,tenero,Aggettivo: I Classe (I e II,Altri Sensi,490,
,,Declinazione),,,
omnis -e,"tutto, ogni, per intero",Aggettivo: II Classe (III,Misura,18,
,,Declinazione),,,
gravis -e,"pesante, serio, grave",Aggettivo: II Classe (III,Misura,140,
,,Declinazione),,,
ingēns ingentis,"enorme, ingente",Aggettivo: II Classe (III,Misura,202,
,,Declinazione),,,
tālis tāle,tale,Aggettivo: II Classe (III,Misura,203,
,,Declinazione),,,
levis -e,"leggero, banale",Aggettivo: II Classe (III,Misura,220,
,,Declinazione),,,
trīstis -e,"triste, solenne, truce",Aggettivo: II Classe (III,Emozioni,275,
,,Declinazione),,,
pār paris,uguale,Aggettivo: II Classe (III,Misura,281,
,,Declinazione),,,
fortis -e,"coraggioso, forte",Aggettivo: II Classe (III,Tratti della,286,
,,Declinazione),Personalità/Caratteristiche,,
vetus veteris,vecchio,Aggettivo: II Classe (III,Tempo,295,
,,Declinazione),,,
fēlīx -īcis,fortunato,Aggettivo: II Classe (III,Tratti della,309,
,,Declinazione),Personalità/Caratteristiche,,
prīnceps -cipis,"primo, capo; (come sostantivo)",Aggettivo: II Classe (III,La Città,317,
,"condottiero, persona in capo",Declinazione),,,
mollis -e,"soffice, soft, cedevole, gentile",Aggettivo: II Classe (III,Altri Sensi,356,
,,Declinazione),,,
turpis -e,"brutto, sgradevole, disgraziato",Aggettivo: II Classe (III,Altri Sensi,377,
,,Declinazione),,,
dulcis -e,dolce,Aggettivo: II Classe (III,Altri Sensi,383,
,,Declinazione),,,
similis -e,"simile, uguale",Aggettivo: II Classe (III,Tratti della,414,
,,Declinazione),Personalità/Caratteristiche,,
facilis -e,"semplice, facile",Aggettivo: II Classe (III,Tratti della,451,
,,Declinazione),Personalità/Caratteristiche,,
sapiēns -ntis,"saggio; (come sostantivo) uomo saggio,",Aggettivo: II Classe (III,Educazione/Conoscenza,453,
,filosofo,Declinazione),,,
nōbilis -e,"nobile, distinto; (come sostantivo) a",Aggettivo: II Classe (III,Tratti della,455,
,nobleman or woman,Declinazione),Personalità/Caratteristiche,,
duo duae duo,due,Aggettivo: Numerale,Misura,221,
mīlle (pl.) mīlia,mille,Aggettivo: Numerale,Misura,247,
nōn,non,Avverbio,Congiunzioni/Avverbi,6,
"ut, utī","come (+ indic.); cosicché, con il risultato",Avverbio,Congiunzioni/Avverbi,15,
,che (+ subj.); (in domande) in che,,,,
,"maniera, come; (in esclamazioni) fino a",,,,
,che punto! come!,,,,
quam,"come?; (dopo un comparativo) che, come",Avverbio,Pronomi/Interrogativi,29,
iam,ora; già,Avverbio,Tempo,34,
nunc,ora,Avverbio,Tempo,50,
"tum, tunc",allora,Avverbio,Tempo,56,
etiam,"anche, pure",Avverbio,Congiunzioni/Avverbi,67,
sīc,"in questa maniera, così; così... come:",Avverbio,Congiunzioni/Avverbi,79,
,nella stesso modo di,,,,
hīc,qui; hinc: da qui,Avverbio,Luogo,80,
magis,più,Avverbio,Congiunzioni/Avverbi,90,
ubi,dove,Avverbio,Luogo,92,
tam,"così, tanto",Avverbio,Congiunzioni/Avverbi,96,
ita,così,Avverbio,Congiunzioni/Avverbi,120,
quidem,"certamente, almeno",Avverbio,Congiunzioni/Avverbi,136,
saepe,spesso,Avverbio,Tempo,145,
semper,sempre,Avverbio,Tempo,149,
deinde/dein,"poi, allora",Avverbio,Tempo,150,
modo,"appena, ora appena; modo ... modo: ora",Avverbio,Tempo,152,
,"... ora, in un momento ... in un altro,",,,,
,qualche volta... altre volte,,,,
parum,molto piccolo,Avverbio,Misura,204,
"tantum, tantummodo",solo,Avverbio,Misura,216,
haud,non,Avverbio,Congiunzioni/Avverbi,226,
bene,bene,Avverbio,Tratti della,235,
,,,Personalità/Caratteristiche,,
ne (enclitic),particella interrogativa aggiunta alla,Avverbio,Pronomi/Interrogativi,238,
,"parola in questione, per enfasi",,,,
numquam,non mai,Avverbio,Tempo,251,
prīmum,"all'inizio, dapprima",Avverbio,Tempo,252,
tot,così tanti,Avverbio,Misura,259,
simul,allo stesso tempo,Avverbio,Tempo,274,
VERO,"infatti, certamente, senza dubbio",Avverbio,Congiunzioni/Avverbi,280,
unde,da dove,Avverbio,Luogo,300,
quō,per quale ragione; verso o in quel posto;,Avverbio,Pronomi/Interrogativi,305,
,"a qual fine, per quale proposito?",,,,
inde,"da qui, da lì",Avverbio,Luogo,328,
"satis, sat","abbastanza, a sufficienza",Avverbio,Misura,341,
vix,scarsamente,Avverbio,Congiunzioni/Avverbi,352,
diū,"a lungo, per un lungo tempo",Avverbio,Tempo,361,
tamquam,"come se, in quanto",Avverbio,Congiunzioni/Avverbi,363,
hūc,"a questo posto, qua",Avverbio,Luogo,368,
adhūc,a questo punto,Avverbio,Luogo,379,
illīc,"a quel posto, là; illinc: da quel posto",Avverbio,Luogo,396,
procul,"a distanza, lontano",Avverbio,Luogo,397,
longē,"lontano, lontano da",Avverbio,Misura,400,
super,sopra (avv. e prep. +acc.),Avverbio,Luogo,401,
cūr,perché?,Avverbio,Pronomi/Interrogativi,404,
tandem,finalmente,Avverbio,Congiunzioni/Avverbi,427,
nōndum,non ancora,Avverbio,Congiunzioni/Avverbi,436,
rūrsus,"di nuovo, ancora",Avverbio,Luogo,440,
velut,come,Avverbio,Congiunzioni/Avverbi,447,
quīn,"(avv.) davvero, infatti; (conjunction) so",Avverbio,Congiunzioni/Avverbi,456,
,that ... not (+ subj.),,,,
adversus (-um),"(avv. e prep.) al contrario, contro,",Avverbio,Guerra e Pace,460,
,opposto (a),,,,
mox,presto,Avverbio,Tempo,469,
eō,"(avv.) là, in quel posto",Avverbio,Luogo,470,
umquam,mai,Avverbio,Tempo,482,
prius or priusquam,prima,Avverbio,Tempo,484,
quamvīs,come ti piace; sebbene,Avverbio,Congiunzioni/Avverbi,489,
quīppe,"(avv.) davvero, sicuramente",Avverbio,Congiunzioni/Avverbi,499,
et,e,Congiunzione,Congiunzioni/Avverbi,1,
que,e (enclitica postpositiva),Congiunzione,Congiunzioni/Avverbi,4,
sī,se,Congiunzione,Congiunzioni/Avverbi,16,
nec,"e non, nemmeno; nec ... nec, nemmeno",Congiunzione,Congiunzioni/Avverbi,19,
,... neppure; → neque,,,,
sed,ma,Congiunzione,Congiunzioni/Avverbi,20,
aut,o,Congiunzione,Congiunzioni/Avverbi,24,
atque,"e in aggiunta, e anche, e; (dopo un",Congiunzione,Congiunzioni/Avverbi,35,
,"comparativo) che; simul atque, non",,,,
,appena; → ac,,,,
ac,"e in aggiunta, e anche, e; (dopo un",Congiunzione,Congiunzioni/Avverbi,36,
,"comparativo) che; simul ac, non appena;",,,,
,→ atque,,,,
nē,che non,Congiunzione,Congiunzioni/Avverbi,47,
enim,infatti,Congiunzione,Pronomi/Interrogativi,57,
tamen,"nonostante, ancora",Congiunzione,Congiunzioni/Avverbi,58,
nam or namque,"per, davvero, infatti",Congiunzione,Congiunzioni/Avverbi,61,
neque,"e non, nemmeno; neque ... neque,",Congiunzione,Congiunzioni/Avverbi,72,
,nemmeno ... neppure; → nec,,,,
at,"ma, ma anche",Congiunzione,Congiunzioni/Avverbi,74,
quoque,anche,Congiunzione,Congiunzioni/Avverbi,76,
an,o (nelle domande); utrum ... an: se ... o,Congiunzione,Congiunzioni/Avverbi,94,
"nisi, nī","se non, a meno che",Congiunzione,Congiunzioni/Avverbi,100,
dum,mentre (+ indic.); fino a quando (+ cong.);,Congiunzione,Tempo,103,
,dato che (+ cong.),,,,
autem,"inoltre, ma, tuttavia",Congiunzione,Congiunzioni/Avverbi,123,
quia,poiché,Congiunzione,Congiunzioni/Avverbi,132,
ergō,quindi,Congiunzione,Congiunzioni/Avverbi,134,
vel,"o anche, oppure, anche; vel... vel: o...",Congiunzione,Congiunzioni/Avverbi,141,
,oppure,,,,
itaque,"e così, quindi",Congiunzione,Congiunzioni/Avverbi,208,
uterque utraque utrumque,ogni (di due),Congiunzione,Misura,243,
ve,o (postpositiva enclitica),Congiunzione,Congiunzioni/Avverbi,307,
igitur,quindi,Congiunzione,Congiunzioni/Avverbi,313,
seu,o; seu ... seu: o... oppure (sīve),Congiunzione,Congiunzioni/Avverbi,343,
sīve,o; sīve ... sīve: oppure... o (seu),Congiunzione,Congiunzioni/Avverbi,362,
postquam,dopo,Congiunzione,Tempo,384,
terra -ae f.,"terra, paese",Nome: I Declinazione,Terra e Acqua,70,
vīta -ae f.,vita,Nome: I Declinazione,Vita ed Esistenza,87,
causa -ae f.,"causa, ragione; causā + genitivo, per",Nome: I Declinazione,Discorso/Oratoria,107,
,causa di,,,,
fortūna -ae f.,fortuna (sia favorevole che avversa),Nome: I Declinazione,Religione,138,
nātūra -ae f.,natura,Nome: I Declinazione,Vita ed Esistenza,180,
cūra -ae f.,"cura, preoccupazione",Nome: I Declinazione,Love,186,
īra irae f.,"ira, collera",Nome: I Declinazione,Emozioni,187,
via -ae f.,"via, strada",Nome: I Declinazione,Viaggio,196,
unda -ae f.,"onda, acqua che fluisce",Nome: I Declinazione,Terra e Acqua,207,
poena -ae f.,"pena, punizione",Nome: I Declinazione,Giustizia,223,
puella -ae f.,ragazza; fidanzata,Nome: I Declinazione,Gente,233,
silva -ae f.,"foresta, bosco",Nome: I Declinazione,Animali/Piante,234,
umbra -ae f.,ombra,Nome: I Declinazione,Vista,257,
aqua -ae f.,acqua,Nome: I Declinazione,Terra e Acqua,272,
fāma -ae f.,"fama, considerazione",Nome: I Declinazione,Discorso/Oratoria,278,
flamma -ae f.,"fiamma, fuoco",Nome: I Declinazione,Aria e Fuoco,298,
turba -ae f.,"folla, tumulto",Nome: I Declinazione,La Città,323,
cōpia -ae f.,abbondanza; (pl.) truppe,Nome: I Declinazione,Guerra e Pace,331,
patria -ae f.,"terra natale, nazione di nascita",Nome: I Declinazione,Geografia,342,
lacrima -ae f.,"lacrima, pianto",Nome: I Declinazione,Emozioni,354,
glōria -ae f.,"gloria, fama",Nome: I Declinazione,Vita Sociale,360,
fuga -ae f.,"fuga, rotta",Nome: I Declinazione,Viaggio,364,
āra -ae f.,altare,Nome: I Declinazione,Religione,374,
grātia -ae f.,"favore, influenza, gratitudine",Nome: I Declinazione,Vita Sociale,380,
iniūria -ae f.:,"ingiustizia, affronto, ingiuria",Nome: I Declinazione,Giustizia,381,
mora -ae f.,"ritardo, ostacolo",Nome: I Declinazione,Tempo,399,
coma -ae f.,"capelli, chioma",Nome: I Declinazione,Il Corpo,405,
aura -ae f.,brezza,Nome: I Declinazione,Aria e Fuoco,420,
fōrma -ae f.,forma; bellezza,Nome: I Declinazione,Altri Sensi,422,
anima -ae f.,"anima, respiro, spirito",Nome: I Declinazione,Vita ed Esistenza,493,
animus -ī m.,"spirito, mente",Nome: II Declinazione,Vita ed Esistenza,40,
deus -ī m.; dea -ae f.,dio; dea,Nome: II Declinazione,Religione,42,
locus -ī m.,"posto, luogo; loca (n. pl.) regione",Nome: II Declinazione,Geografia,62,
vir virī m.,uomo,Nome: II Declinazione,Gente,85,
bellum -ī n.,guerra,Nome: II Declinazione,Guerra e Pace,86,
arma -ōrum n. pl.,armi,Nome: II Declinazione,Guerra e Pace,98,
caelum -ī n.,cielo,Nome: II Declinazione,Aria e Fuoco,117,
rēgnum -ī n.,"regno, reame",Nome: II Declinazione,Geografia,121,
populus -ī m.,popolo,Nome: II Declinazione,La Città,122,
fātum -ī n.,fato; morte,Nome: II Declinazione,Religione,157,
annus -ī m.,anno,Nome: II Declinazione,Estensione di Tempo,167,
beneficium -ī n.,"servizio, gentilezza",Nome: II Declinazione,Vita Sociale,182,
verbum -ī n.,parola,Nome: II Declinazione,Scrittura/Poesia,188,
puer puerī m.,ragazzo; schiavo,Nome: II Declinazione,Gente,191,
modus -ī m.,"misura, maniera, modo",Nome: II Declinazione,Misura,195,
imperium -ī n.,"comando, potere",Nome: II Declinazione,Guerra e Pace,200,
oculus -ī m.,occhio,Nome: II Declinazione,Il Corpo,206,
nātus -ī m.,figlio,Nome: II Declinazione,La Famiglia,211,
cōnsilium -ī n.,"piano; concilio, gruppo di consilieri",Nome: II Declinazione,La Città,217,
castrum -ī n.,"fortezza, (di solito al plurale, castra",Nome: II Declinazione,Guerra e Pace,224,
,accampamento),,,,
ferrum -ī n.,"ferro, arma o attrezzo in ferro",Nome: II Declinazione,Violenza,231,
dominus -ī m.; domina -ae f.,"padrone di casa, signore; padrona",Nome: II Declinazione,La Famiglia,241,
equus -ī m.,cavallo,Nome: II Declinazione,Animali/Piante,248,
tēlum -ī n.,"missile, arma, dardo",Nome: II Declinazione,Guerra e Pace,255,
sīgnum -ī n.,"segno, marchio",Nome: II Declinazione,Guerra e Pace,261,
perīculum -ī n.,pericolo,Nome: II Declinazione,Violenza,265,
ventus -ī m.,vento,Nome: II Declinazione,Aria e Fuoco,269,
aurum -ī n.,oro,Nome: II Declinazione,Affari/Soldi,303,
saxum -ī n.,"roccia, ciglio",Nome: II Declinazione,Terra e Acqua,306,
ager agrī m.,campo,Nome: II Declinazione,Animali/Piante,324,
vitium -ī n.,"vizio, colpa, crimine",Nome: II Declinazione,Giustizia,326,
vōtum -ī n.,"promessa solenne, giuramento, speranza",Nome: II Declinazione,Religione,334,
iugum -ī n.,"giogo; cresta, catena di colline",Nome: II Declinazione,Animali/Piante,335,
numerus -ī m.,"numero, ammontare",Nome: II Declinazione,Misura,338,
proelium -ī n.,battaglia,Nome: II Declinazione,Guerra e Pace,348,
mundus -ī m.,"mondo, universo, cieli",Nome: II Declinazione,Terra e Acqua,350,
tēctum -ī n.,"tetto, costruzione, casa",Nome: II Declinazione,La Casa,386,
ingenium -ī n.,"abilità, talento, predisposizione",Nome: II Declinazione,Educazione/Conoscenza,387,
campus -ī m.,"pianura, campo",Nome: II Declinazione,Terra e Acqua,391,
spatium -ī n.,spazio,Nome: II Declinazione,Aria e Fuoco,426,
somnus -ī m.,sonno; (pl.) sogni,Nome: II Declinazione,Vita ed Esistenza,438,
studium -ī n.,"zelo, impazienza",Nome: II Declinazione,Emozioni,450,
lēgātus -ī m.,"luogotenente, ambasciatore, inviato",Nome: II Declinazione,Guerra e Pace,464,
tergum -ī n.,"dietro, retro; ā tergō: da dietro",Nome: II Declinazione,Il Corpo,474,
dōnum -ī n.,"dono, regalo",Nome: II Declinazione,Vita Sociale,476,
membrum -ī n.,"arto, membro del corpo umano",Nome: II Declinazione,Il Corpo,481,
templum -ī n.,"terreno consacrato, tempio",Nome: II Declinazione,Religione,485,
servus -ī m.,schiavo,Nome: II Declinazione,La Famiglia,496,
rēx rēgis m.,re,Nome: III Declinazione,La Città,60,
pars partis f.,parte,Nome: III Declinazione,Misura,65,
pater patris m.,"madre, antenato",Nome: III Declinazione,La Famiglia,71,
corpus corporis n.,corpo,Nome: III Declinazione,Il Corpo,75,
urbs urbis f.,città,Nome: III Declinazione,La Città,82,
homō hominis m.,essere umano,Nome: III Declinazione,Gente,88,
tempus -oris n.,tempo,Nome: III Declinazione,Tempo,89,
hostis -is m./f.,"straniero, nemico",Nome: III Declinazione,Guerra e Pace,93,
mors mortis f.,morte,Nome: III Declinazione,Vita ed Esistenza,95,
virtūs -ūtis f.,"virtù, valore, virilità",Nome: III Declinazione,Tratti della,111,
,,,Personalità/Caratteristiche,,
vīs f.,"(acc.) vim, (abl.) vī; (pl.) vīrēs, forza",Nome: III Declinazione,Guerra e Pace,115,
amor -ōris m.,amore,Nome: III Declinazione,Love,116,
nox noctis f.,notte,Nome: III Declinazione,Estensione di Tempo,119,
caput capitis n.,testa,Nome: III Declinazione,Il Corpo,124,
mare -is n.,mare,Nome: III Declinazione,Terra e Acqua,125,
māter mātris f.,madre,Nome: III Declinazione,La Famiglia,127,
nōmen -inis n.,nome,Nome: III Declinazione,Vita Sociale,135,
ōs ōris n.,"bocca, faccia",Nome: III Declinazione,Il Corpo,147,
ignis -is m.,fuoco,Nome: III Declinazione,Aria e Fuoco,151,
scelus -eris n.,"crimine, peccato",Nome: III Declinazione,Giustizia,154,
mīles -itis m.,soldato,Nome: III Declinazione,Guerra e Pace,161,
vōx vōcis f.,"voce, espressione",Nome: III Declinazione,Discorso/Oratoria,169,
genus generis n.,"origine, discendenza, razza",Nome: III Declinazione,La Famiglia,170,
mēns mentis f.,mente,Nome: III Declinazione,Il Corpo,173,
mōs mōris m.,"abitudine, usanza; (pl.) carattere",Nome: III Declinazione,Vita Sociale,181,
pectus -oris n.,"petto, seno",Nome: III Declinazione,Il Corpo,183,
parēns -ntis m./f.,genitore,Nome: III Declinazione,La Famiglia,190,
dolor -ōris m.,"dolore, pena",Nome: III Declinazione,Emozioni,193,
gēns gentis f.,"famiglia, clan",Nome: III Declinazione,La Famiglia,194,
pēs pedis m.,piede,Nome: III Declinazione,Il Corpo,199,
labor -ōris m.,"farica, esercitazione",Nome: III Declinazione,Affari/Soldi,201,
sanguis -inis m.,sangue,Nome: III Declinazione,Il Corpo,214,
coniunx coniugis m./f.,"sposa, marito, moglie",Nome: III Declinazione,La Famiglia,218,
frāter frātris m.,fratello,Nome: III Declinazione,La Famiglia,225,
iter itineris n.,"viaggio, rotta",Nome: III Declinazione,Viaggio,230,
fīnis -is m.,"fine, confine",Nome: III Declinazione,Geografia,236,
dux ducis m./f.,"condottiero, generale",Nome: III Declinazione,Guerra e Pace,239,
mōns montis m.,montagna,Nome: III Declinazione,Geografia,242,
lītus -oris n.,spiaggia,Nome: III Declinazione,Geografia,245,
carmen -inis n.,"poesia, carme",Nome: III Declinazione,Scrittura/Poesia,254,
ratiō -ōnis f.,"metodo, piano, ragione",Nome: III Declinazione,Educazione/Conoscenza,256,
ars artis f.,"abilità, arte",Nome: III Declinazione,Educazione/Conoscenza,258,
lēx lēgis f.,legge,Nome: III Declinazione,Giustizia,264,
mūnus mūneris n.,"regalo, offerta; dovere, obbligo; (pl.)",Nome: III Declinazione,Vita Sociale,276,
,spettacolo di gladiatori,,,,
iuvenis -is m.,giovane,Nome: III Declinazione,Gente,277,
flūmen -inis n.,"fiume, rio",Nome: III Declinazione,Terra e Acqua,283,
honor -ōris m.,"onore, gloria; ufficio, posto di",Nome: III Declinazione,La Città,290,
,responsabilità; cursus honoris: carriera,,,,
,pubblica,,,,
eques equitis m.,cavaliere,Nome: III Declinazione,Guerra e Pace,296,
lūx lūcis f.,luce del giorno,Nome: III Declinazione,Aria e Fuoco,299,
aetās -tātis f.,"età, tempo della vita",Nome: III Declinazione,Estensione di Tempo,308,
iūs iūris n.,"diritto, legge, giustizia",Nome: III Declinazione,Giustizia,314,
ops opis f.,"assistenza, risorsa",Nome: III Declinazione,Affari/Soldi,318,
sōl sōlis m.,sole,Nome: III Declinazione,Aria e Fuoco,320,
cōnsul -ulis m.,console,Nome: III Declinazione,La Città,321,
orbis -is m.,"cerchio, orbita terrestre, mondo",Nome: III Declinazione,Geografia,322,
vulnus -eris n.,ferita,Nome: III Declinazione,Violenza,327,
opus operis n.,"lavoro, opera",Nome: III Declinazione,Affari/Soldi,332,
tellus tellūris f.,terra,Nome: III Declinazione,Terra e Acqua,337,
victor -ōris m.,conquistatore,Nome: III Declinazione,Guerra e Pace,340,
cīvitās -ātis f.,"cittadinanza, stato",Nome: III Declinazione,La Città,346,
nāvis -is f.,nave,Nome: III Declinazione,Viaggio,353,
āgmen -minis n.,colonna (militare) in marcia,Nome: III Declinazione,Guerra e Pace,358,
sīdus -eris n.,"stella, costellazione",Nome: III Declinazione,Aria e Fuoco,359,
auris -is f.,orecchio,Nome: III Declinazione,Il Corpo,366,
legiō -ōnis f.,legione,Nome: III Declinazione,Guerra e Pace,370,
lūmen luminis n.,luce,Nome: III Declinazione,Vista,375,
voluptās -ātis f.,"piacere, godimento",Nome: III Declinazione,Vita Sociale,378,
latus -eris n.,"lato, fianco",Nome: III Declinazione,Il Corpo,382,
pāx pācis f.,pace,Nome: III Declinazione,Guerra e Pace,388,
sēdēs -is f.,"sede, abitazione",Nome: III Declinazione,La Casa,403,
vestis -is f.,"indumento, vestito",Nome: III Declinazione,Vita ed Esistenza,413,
caedēs -is f.,"strage, uccisione",Nome: III Declinazione,Violenza,415,
ōrdō -īnis m.,"ordine, rango",Nome: III Declinazione,Guerra e Pace,416,
virgō -inis f.,"ragazza, vergine",Nome: III Declinazione,Gente,418,
aequor aequoris n.,"superficie piana, mare, pianura",Nome: III Declinazione,Terra e Acqua,424,
laus laudis f.,"lode, apprezzamento, gloria",Nome: III Declinazione,Vita Sociale,444,
comes comitis m./f.,"compagno, camerata; attendente,",Nome: III Declinazione,Vita Sociale,448,
,seguace,,,,
nūmen -inis n.,"volere divino, nume, divinità",Nome: III Declinazione,Religione,452,
nemus nemoris n.,"bosco, foresta",Nome: III Declinazione,Animali/Piante,461,
furor -ōris m.,"rabbia, furore",Nome: III Declinazione,Emozioni,466,
amnis -is m.,"fiume, torrente",Nome: III Declinazione,Terra e Acqua,467,
arbor arboris f.,albero,Nome: III Declinazione,Animali/Piante,468,
cīvis -is m./f.,cittadino,Nome: III Declinazione,La Città,471,
crīmen -inis n.,"verdetto, accusa",Nome: III Declinazione,Giustizia,475,
lībertās -ātis f.,libertà,Nome: III Declinazione,La Città,495,
soror -ōris f.,sorella,Nome: III Declinazione,La Famiglia,497,
"nihil, nīl","niente, nulla",Nome: Indeclinabile,Misura,55,
manus -ūs f.,"mano; manipolo (unità militare, banda di",Nome: IV Declinazione,Il Corpo,48,
,uomini),,,,
domus -ūs f.,"casa, abitazione",Nome: IV Declinazione,La Casa,73,
vultus -ūs m.,"volto, espressione, faccia",Nome: IV Declinazione,Il Corpo,209,
metus -ūs m.,"paura, terrore",Nome: IV Declinazione,Emozioni,215,
exercitus -ūs m.,"esercito, armata",Nome: IV Declinazione,Guerra e Pace,267,
senātus -ūs m.,senato,Nome: IV Declinazione,La Città,329,
cāsus -ūs m.,caso; possibilità,Nome: IV Declinazione,Violenza,344,
cursus -ūs m.,"corso, progresso",Nome: IV Declinazione,Atletica,351,
